,user,mrrs_fb0,mrrs_fb1,mrrs_fb2
0,year2009/person00019,0.07310257075327188,0.07310257075327188,0.07310257075327188
1,year2009/person00012,0.06846300289168253,0.06846300289168253,0.06846300289168253
2,year2008/person00007,0.060353258113671676,0.060353258113671676,0.060353258113671676
3,year2009/person00028,0.0897019081654056,0.07436697662407873,0.07436697662407873
4,year2006b/person00008,0.09295750647961079,0.09295750647961079,0.09295750647961079
5,year2003/person00010,0.17249913733609384,0.09458771746218483,0.09458771746218483
6,year2006b/person00010,0.0999385964538744,0.10786351035524985,0.08457988049713154
7,year2009/person00002,0.08578115706015556,0.0847983849872672,0.0847983849872672
8,year2003/person00003,0.1845562628962122,0.20937841736775692,0.21362016877534612
9,year2004b/person00013,0.07725449039264828,0.07725449039264828,0.07725449039264828
10,year2004b/person00023,0.0984437617387314,0.10636314731947602,0.14861149154758094
11,year2006b/person00003,0.23766609447315973,0.09615274726314,0.09615274726314
12,year2009/person00030,0.18323277108338085,0.05871551188462955,0.05871551188462955
13,year2007/person00015,0.22844167247234928,0.0842320158320837,0.0842320158320837
14,year2005/person00019,0.13155273962255373,0.08026715205278331,0.08026715205278331
15,year2007/person00002,0.14390173818918012,0.17086449256842584,0.17086449256842584
16,year2006a/person00002,0.20561667056347913,0.16763321745208407,0.16763321745208407
17,year2006b/person00001,0.11813745467567309,0.10497189665681579,0.10794667345653891
18,year2004a/person00003,0.14142316647910055,0.21558122248824335,0.18165828104205559
19,year2008/person00009,0.12606730690639847,0.21085086778094478,0.20222628890092426
20,year2005/person00008,0.15056000639616937,0.19279582255330613,0.1740336757544577
21,year2009/person00011,0.164015316122733,0.17440042524316599,0.17440042524316599
22,year2004a/person00007,0.20743303326908388,0.1578613066036366,0.2103435851086916
23,year2004b/person00020,0.17979182625313375,0.10878939431238817,0.10878939431238817
24,year2003/person00024,0.16120119279571365,0.11034604596832857,0.11034604596832857
25,year2006b/person00006,0.27485837367396965,0.09450771510238144,0.09450771510238144
26,year2007/person00008,0.20737648147786772,0.12733784657973757,0.11905029544023575
27,year2009/person00017,0.20039849462093,0.19331899327417093,0.16834430684649312
28,year2009/person00024,0.262050030297792,0.2083822021113273,0.23298956930358172
29,year2009/person00029,0.1908903598206127,0.19435814146117103,0.13938585517279936
30,simulator,0.8792087542087542,0.9300925925925926,0.9300925925925926
